ovr,acceleration,long_passing,shot_power,weight,reactions,club,volleys,ball_control,height,team_uid,team_id,jumping,player_id,agility,long_shots,short_passing,wage,strength,name,sprint_speed,age,club_id,curve,value,stamina,fk_accuracy,potential,heading_accuracy,crossing,position,finishing,balance,starting,dribbling
74,72,48,40,74,71,Saudi Arabia,21,48,184,111114-18-159068,111114,79,208914,71,32,68,33K,86,omar-hawsawi,72,31,111114,30,3.8M,73,26,74,72,26,DEF,20,53,true,41
68,76,61,46,65,66,Saudi Arabia,40,64,170,111114-18-159068,111114,73,210147,74,40,65,21K,61,mansour-al-harbi,79,29,111114,61,675K,81,48,68,54,66,DEF,45,66,true,63
71,69,66,68,72,68,Saudi Arabia,36,65,175,111114-18-159068,111114,81,191843,67,48,68,24K,76,abdulmalek-al-khaibari,73,31,111114,35,1.6M,76,37,71,69,40,MID,37,63,true,53
75,67,75,74,69,74,Saudi Arabia,77,75,175,111114-18-159068,111114,69,191269,89,67,78,36K,75,salman-al-faraj,72,27,111114,71,7M,67,66,75,59,69,MID,65,71,true,71
71,74,68,69,63,67,CD Leganés,59,71,161,111114-18-159068,111114,41,209281,82,66,73,26K,53,yahia-sulaiman-al-shehri,75,27,100888,73,2.5M,73,63,71,46,70,MID,62,73,true,72
76,87,69,73,59,66,Saudi Arabia,63,76,168,111114-18-159068,111114,61,208949,83,74,73,43K,61,nawaf-al-abed,88,27,111114,66,8M,80,64,76,43,70,MID,70,80,true,75
74,75,72,66,64,72,Saudi Arabia,61,75,169,111114-18-159068,111114,67,168883,70,70,75,33K,73,taiseer-al-jassam,67,32,111114,70,3.2M,76,74,74,70,61,MID,69,74,true,68
73,74,47,69,72,77,Saudi Arabia,75,66,180,111114-18-159068,111114,75,208916,70,67,68,39K,75,mohammed-al-sahlawi,67,30,111114,64,3.9M,78,53,73,69,58,ATT,79,68,true,70
68,32,21,22,84,63,Al Ahli,12,17,184,111114-19-159296,111114,64,197496,49,19,22,11K,68,yasser-al-mosailem,46,34,112387,20,375K,37,14,68,13,18,DEF,14,55,true,16
72,87,66,68,61,68,Al Hilal,55,70,170,111114-19-159296,111114,52,210603,80,66,71,24K,58,yasser-al-shahrani,84,26,605,68,3.1M,78,65,74,53,69,DEF,48,73,true,67
72,59,57,65,83,70,Al Wehda,48,52,188,111114-19-159296,111114,76,191256,66,48,65,17K,80,osama-hawsawi,60,34,112408,50,950K,75,42,72,72,44,DEF,57,68,true,54
71,68,48,40,76,71,Al Nassr,21,48,185,111114-19-159296,111114,80,208914,70,32,68,21K,86,omar-hawsawi,70,32,112139,30,1.4M,74,26,71,68,26,DEF,20,49,true,41
68,76,61,46,75,66,Al Ittihad,40,64,175,111114-19-159296,111114,75,210147,74,40,65,13K,63,mansour-al-harbi,79,30,607,61,650K,83,48,68,54,68,DEF,45,63,true,65
69,68,65,68,73,65,Al Hilal,36,63,177,111114-19-159296,111114,72,191843,67,48,67,15K,75,abdulmalek-al-khaibari,71,32,605,35,600K,76,37,69,64,40,MID,37,61,true,53
74,67,75,74,64,74,Al Hilal,70,75,181,111114-19-159296,111114,71,191269,81,67,78,33K,73,salman-al-faraj,73,28,605,71,5.5M,72,66,74,59,72,MID,65,69,true,71
70,71,67,69,63,60,Al Nassr,59,69,165,111114-19-159296,111114,32,209281,80,67,73,21K,53,yahia-sulaiman-al-shehri,70,28,112139,69,1.8M,71,63,70,46,69,MID,61,72,true,71
73,78,69,73,59,65,Al Hilal,63,75,168,111114-19-159296,111114,64,208949,81,74,73,31K,63,nawaf-al-abed,79,28,605,66,4M,75,64,73,43,70,MID,69,79,true,73
73,69,72,66,69,72,Al Wehda,59,74,169,111114-19-159296,111114,59,168883,80,70,75,29K,73,taiseer-al-jassam,67,33,112408,70,2.3M,77,74,73,68,61,MID,66,70,true,71
69,63,47,67,74,75,Al Nassr,70,62,177,111114-19-159296,111114,77,208916,69,67,68,18K,68,mohammed-al-sahlawi,63,31,112139,64,950K,78,53,69,67,58,ATT,70,66,true,65
62,32,20,31,85,60,Al Ahli,25,25,185,111114-14-157655,111114,64,197496,49,25,21,1K,68,yasser-al-mosailem,46,29,112387,25,100K,37,25,62,25,25,DEF,25,55,true,25
68,89,61,72,62,64,Al Hilal,50,73,171,111114-14-157655,111114,73,210603,84,71,67,15K,71,yasser-al-shahrani,91,20,605,62,900K,80,35,71,42,73,DEF,47,77,true,76
67,45,46,62,80,47,Al Ahli,25,50,187,111114-14-157655,111114,62,191256,44,25,58,1K,78,osama-hawsawi,53,29,112387,25,350K,63,25,67,74,23,DEF,24,34,true,30
64,63,28,39,74,47,Al Nassr,20,49,184,111114-14-157655,111114,71,208914,56,21,42,2K,79,omar-hawsawi,64,27,112139,29,300K,65,25,64,64,25,DEF,25,61,true,27
67,82,65,42,67,66,Al Ahli,39,67,173,111114-14-157655,111114,80,210147,79,39,64,4K,57,mansour-al-harbi,83,25,112387,60,900K,81,50,72,51,68,DEF,42,73,true,67
63,73,54,62,70,62,Al Shabab,35,49,178,111114-14-157655,111114,88,191843,67,45,60,3K,75,abdulmalek-al-khaibari,72,27,111674,28,200K,85,36,65,52,32,MID,36,73,true,47
67,79,68,60,69,66,Al Hilal,47,74,175,111114-14-157655,111114,56,191269,84,44,70,10K,61,salman-al-faraj,76,23,605,48,750K,81,45,69,42,65,MID,60,68,true,66
70,83,66,70,60,66,Al Nassr,62,71,164,111114-14-157655,111114,56,209281,82,65,68,20K,52,yahia-sulaiman-al-shehri,84,23,112139,70,2.6M,76,67,76,45,65,MID,66,81,true,75
69,84,58,73,59,60,Al Hilal,67,71,168,111114-14-157655,111114,56,208949,79,75,66,15K,63,nawaf-al-abed,87,23,605,65,1.4M,75,63,75,42,60,MID,70,83,true,70
74,69,74,72,64,74,Al Ahli,60,80,168,111114-14-157655,111114,73,168883,78,73,76,1K,57,taiseer-al-jassam,74,28,112387,70,2.8M,81,71,74,40,72,MID,65,79,true,74
69,73,46,67,72,69,Al Nassr,67,62,178,111114-14-157655,111114,88,208916,72,68,65,5K,56,mohammed-al-sahlawi,76,26,112139,53,900K,73,30,71,79,27,ATT,70,67,true,67
68,32,21,22,84,63,Al Ahli,12,17,184,111114-10-156090,111114,64,197496,49,19,22,11K,68,yasser-al-mosailem,46,34,112387,20,375K,37,14,68,13,18,DEF,14,55,true,16
72,87,66,68,61,68,Al Hilal,55,70,170,111114-10-156090,111114,52,210603,80,66,71,24K,58,yasser-al-shahrani,84,26,605,68,3.1M,78,65,74,53,69,DEF,48,73,true,67
72,59,57,65,83,70,Al Wehda,48,52,188,111114-10-156090,111114,76,191256,66,48,65,17K,80,osama-hawsawi,60,34,112408,50,950K,75,42,72,72,44,DEF,57,68,true,54
71,68,48,40,76,71,Al Nassr,21,48,185,111114-10-156090,111114,80,208914,70,32,68,21K,86,omar-hawsawi,70,32,112139,30,1.4M,74,26,71,68,26,DEF,20,49,true,41
68,76,61,46,75,66,Al Ittihad,40,64,175,111114-10-156090,111114,75,210147,74,40,65,13K,63,mansour-al-harbi,79,30,607,61,650K,83,48,68,54,68,DEF,45,63,true,65
69,68,65,68,73,65,Al Hilal,36,63,177,111114-10-156090,111114,72,191843,67,48,67,15K,75,abdulmalek-al-khaibari,71,32,605,35,600K,76,37,69,64,40,MID,37,61,true,53
74,67,75,74,64,74,Al Hilal,70,75,181,111114-10-156090,111114,71,191269,81,67,78,33K,73,salman-al-faraj,73,28,605,71,5.5M,72,66,74,59,72,MID,65,69,true,71
70,71,67,69,63,60,Al Nassr,59,69,165,111114-10-156090,111114,32,209281,80,67,73,21K,53,yahia-sulaiman-al-shehri,70,28,112139,69,1.8M,71,63,70,46,69,MID,61,72,true,71
73,78,69,73,59,65,Al Hilal,63,75,168,111114-10-156090,111114,64,208949,81,74,73,31K,63,nawaf-al-abed,79,28,605,66,4M,75,64,73,43,70,MID,69,79,true,73
73,69,72,66,69,72,Al Wehda,59,74,169,111114-10-156090,111114,59,168883,80,70,75,29K,73,taiseer-al-jassam,67,33,112408,70,2.3M,77,74,73,68,61,MID,66,70,true,71
69,63,47,67,74,75,Al Nassr,70,62,177,111114-10-156090,111114,77,208916,69,67,68,18K,68,mohammed-al-sahlawi,63,31,112139,64,950K,78,53,69,67,58,ATT,70,66,true,65
71,32,21,22,82,64,Al Ahli,12,17,184,111114-17-158729,111114,64,197496,49,19,22,20K,68,yasser-al-mosailem,46,32,112387,20,1.2M,37,14,71,13,18,DEF,14,55,true,16
74,90,69,68,62,72,Al Hilal,55,72,171,111114-17-158729,111114,59,210603,81,66,75,35K,71,yasser-al-shahrani,85,24,605,68,3.5M,76,65,76,53,69,DEF,48,77,true,69
74,73,57,65,75,67,Al Hilal,48,53,185,111114-17-158729,111114,78,191256,65,48,68,35K,90,osama-hawsawi,74,32,605,50,2M,89,42,74,73,44,DEF,57,69,true,54
72,70,49,40,72,67,Al Nassr,21,49,181,111114-17-158729,111114,79,208914,72,32,64,8K,85,omar-hawsawi,67,30,112139,30,1.5M,82,26,72,71,26,DEF,20,53,true,42
66,79,60,43,65,64,Al Ahli,40,60,170,111114-17-158729,111114,73,210147,75,40,62,8K,61,mansour-al-harbi,79,28,112387,61,475K,80,48,66,52,60,DEF,43,67,true,61
71,70,66,68,72,65,Al Hilal,36,65,175,111114-17-158729,111114,81,191843,67,48,71,20K,78,abdulmalek-al-khaibari,75,30,605,35,1.2M,83,37,71,67,40,MID,37,63,true,53
72,69,68,74,69,74,Al Hilal,76,74,175,111114-17-158729,111114,69,191269,88,67,73,30K,65,salman-al-faraj,71,26,605,71,2.4M,65,66,73,59,69,MID,65,72,true,71
69,75,65,69,60,66,Al Nassr,59,69,164,111114-17-158729,111114,41,209281,81,63,72,8K,61,yahia-sulaiman-al-shehri,79,26,112139,71,1.3M,74,63,72,46,69,MID,56,73,true,70
74,87,65,73,59,66,Al Hilal,63,75,170,111114-17-158729,111114,61,208949,83,70,73,40K,61,nawaf-al-abed,87,26,605,66,3.5M,78,64,74,43,64,MID,69,81,true,71
74,76,72,66,67,72,Al Ahli,61,75,168,111114-17-158729,111114,74,168883,70,70,75,35K,79,taiseer-al-jassam,70,31,112387,70,2.2M,74,74,74,70,61,MID,69,70,true,68
73,75,47,69,72,77,Al Nassr,75,69,180,111114-17-158729,111114,74,208916,71,67,68,20K,73,mohammed-al-sahlawi,72,29,112139,64,2.8M,76,53,73,69,58,ATT,78,68,true,70
68,32,21,22,84,63,Al Ahli,12,17,184,111114-08-155359,111114,64,197496,49,19,22,11K,68,yasser-al-mosailem,46,34,112387,20,375K,37,14,68,13,18,DEF,14,55,true,16
72,87,66,68,61,68,Al Hilal,55,70,170,111114-08-155359,111114,52,210603,80,66,71,24K,58,yasser-al-shahrani,84,26,605,68,3.1M,78,65,74,53,69,DEF,48,73,true,67
72,59,57,65,83,70,Al Wehda,48,52,188,111114-08-155359,111114,76,191256,66,48,65,17K,80,osama-hawsawi,60,34,112408,50,950K,75,42,72,72,44,DEF,57,68,true,54
71,68,48,40,76,71,Al Nassr,21,48,185,111114-08-155359,111114,80,208914,70,32,68,21K,86,omar-hawsawi,70,32,112139,30,1.4M,74,26,71,68,26,DEF,20,49,true,41
68,76,61,46,75,66,Al Ittihad,40,64,175,111114-08-155359,111114,75,210147,74,40,65,13K,63,mansour-al-harbi,79,30,607,61,650K,83,48,68,54,68,DEF,45,63,true,65
69,68,65,68,73,65,Al Hilal,36,63,177,111114-08-155359,111114,72,191843,67,48,67,15K,75,abdulmalek-al-khaibari,71,32,605,35,600K,76,37,69,64,40,MID,37,61,true,53
74,67,75,74,64,74,Al Hilal,70,75,181,111114-08-155359,111114,71,191269,81,67,78,33K,73,salman-al-faraj,73,28,605,71,5.5M,72,66,74,59,72,MID,65,69,true,71
70,71,67,69,63,60,Al Nassr,59,69,165,111114-08-155359,111114,32,209281,80,67,73,21K,53,yahia-sulaiman-al-shehri,70,28,112139,69,1.8M,71,63,70,46,69,MID,61,72,true,71
73,78,69,73,59,65,Al Hilal,63,75,168,111114-08-155359,111114,64,208949,81,74,73,31K,63,nawaf-al-abed,79,28,605,66,4M,75,64,73,43,70,MID,69,79,true,73
73,69,72,66,69,72,Al Wehda,59,74,169,111114-08-155359,111114,59,168883,80,70,75,29K,73,taiseer-al-jassam,67,33,112408,70,2.3M,77,74,73,68,61,MID,66,70,true,71
69,63,47,67,74,75,Al Nassr,70,62,177,111114-08-155359,111114,77,208916,69,67,68,18K,68,mohammed-al-sahlawi,63,31,112139,64,950K,78,53,69,67,58,ATT,70,66,true,65
68,32,20,31,85,65,Al Ahli,11,16,185,111114-13-157186,111114,67,197496,49,18,21,0,72,yasser-al-mosailem,46,28,112387,19,0,37,13,70,12,17,DEF,13,55,true,15
66,88,71,72,62,60,Al Hilal,21,73,171,111114-13-157186,111114,71,210603,84,71,67,0,53,yasser-al-shahrani,90,20,605,58,0,80,21,72,42,72,DEF,45,77,true,76
69,51,46,65,80,47,Al Ahli,17,56,187,111114-13-157186,111114,62,191256,45,17,58,0,80,osama-hawsawi,53,28,112387,19,0,63,11,70,78,23,DEF,24,58,true,43
60,63,28,39,74,47,Al Nassr,20,29,184,111114-13-157186,111114,69,208914,56,21,32,0,79,omar-hawsawi,64,26,112139,29,0,65,25,66,64,25,DEF,19,61,true,27
67,81,65,42,67,66,Al Ahli,39,65,173,111114-13-157186,111114,77,210147,79,39,64,0,57,mansour-al-harbi,83,24,112387,55,0,81,32,69,51,68,DEF,42,79,true,67
61,73,50,54,72,65,Al Shabab,35,62,175,111114-13-157186,111114,86,191843,70,45,57,0,79,abdulmalek-al-khaibari,78,26,111674,28,0,82,36,64,52,32,MID,33,67,true,54
69,79,69,60,69,67,Al Hilal,47,78,175,111114-13-157186,111114,56,191269,84,46,73,0,48,salman-al-faraj,76,22,605,54,0,81,45,75,42,67,MID,60,68,true,71
71,83,66,70,60,66,Ettifaq FC,62,74,164,111114-13-157186,111114,56,209281,82,56,70,0,50,yahia-sulaiman-al-shehri,84,22,112096,70,0,76,67,76,45,69,MID,66,81,true,75
68,84,61,76,59,62,Al Hilal,64,78,168,111114-13-157186,111114,56,208949,76,80,63,0,63,nawaf-al-abed,88,22,605,66,0,73,56,74,42,53,MID,69,84,true,70
75,69,77,70,64,74,Al Ahli,64,83,168,111114-13-157186,111114,71,168883,78,69,78,0,57,taiseer-al-jassam,74,27,112387,72,0,77,73,75,44,72,MID,65,80,true,77
69,73,26,67,72,69,Al Nassr,47,60,178,111114-13-157186,111114,90,208916,72,68,55,0,68,mohammed-al-sahlawi,76,25,112139,33,0,73,30,70,81,27,ATT,72,67,true,67
68,32,21,22,84,63,Al Ahli,12,17,184,111114-09-155725,111114,64,197496,49,19,22,11K,68,yasser-al-mosailem,46,34,112387,20,375K,37,14,68,13,18,DEF,14,55,true,16
72,87,66,68,61,68,Al Hilal,55,70,170,111114-09-155725,111114,52,210603,80,66,71,24K,58,yasser-al-shahrani,84,26,605,68,3.1M,78,65,74,53,69,DEF,48,73,true,67
72,59,57,65,83,70,Al Wehda,48,52,188,111114-09-155725,111114,76,191256,66,48,65,17K,80,osama-hawsawi,60,34,112408,50,950K,75,42,72,72,44,DEF,57,68,true,54
71,68,48,40,76,71,Al Nassr,21,48,185,111114-09-155725,111114,80,208914,70,32,68,21K,86,omar-hawsawi,70,32,112139,30,1.4M,74,26,71,68,26,DEF,20,49,true,41
68,76,61,46,75,66,Al Ittihad,40,64,175,111114-09-155725,111114,75,210147,74,40,65,13K,63,mansour-al-harbi,79,30,607,61,650K,83,48,68,54,68,DEF,45,63,true,65
69,68,65,68,73,65,Al Hilal,36,63,177,111114-09-155725,111114,72,191843,67,48,67,15K,75,abdulmalek-al-khaibari,71,32,605,35,600K,76,37,69,64,40,MID,37,61,true,53
74,67,75,74,64,74,Al Hilal,70,75,181,111114-09-155725,111114,71,191269,81,67,78,33K,73,salman-al-faraj,73,28,605,71,5.5M,72,66,74,59,72,MID,65,69,true,71
70,71,67,69,63,60,Al Nassr,59,69,165,111114-09-155725,111114,32,209281,80,67,73,21K,53,yahia-sulaiman-al-shehri,70,28,112139,69,1.8M,71,63,70,46,69,MID,61,72,true,71
73,78,69,73,59,65,Al Hilal,63,75,168,111114-09-155725,111114,64,208949,81,74,73,31K,63,nawaf-al-abed,79,28,605,66,4M,75,64,73,43,70,MID,69,79,true,73
73,69,72,66,69,72,Al Wehda,59,74,169,111114-09-155725,111114,59,168883,80,70,75,29K,73,taiseer-al-jassam,67,33,112408,70,2.3M,77,74,73,68,61,MID,66,70,true,71
69,63,47,67,74,75,Al Nassr,70,62,177,111114-09-155725,111114,77,208916,69,67,68,18K,68,mohammed-al-sahlawi,63,31,112139,64,950K,78,53,69,67,58,ATT,70,66,true,65
61,32,21,22,85,61,Al Ahli,12,17,185,111114-16-158159,111114,64,197496,49,19,22,4K,68,yasser-al-mosailem,46,31,112387,20,180K,37,14,61,13,18,DEF,14,55,true,16
75,93,62,75,62,67,Al Hilal,51,76,171,111114-16-158159,111114,73,210603,87,72,68,35K,68,yasser-al-shahrani,93,22,605,69,4.8M,90,36,81,53,72,DEF,48,77,true,73
73,77,47,65,80,68,Al Ahli,48,53,187,111114-16-158159,111114,86,191256,54,48,59,30K,82,osama-hawsawi,70,31,112387,50,1.9M,84,42,73,79,44,DEF,57,50,true,54
75,74,49,40,74,68,Al Nassr,21,50,184,111114-16-158159,111114,92,208914,69,22,63,35K,86,omar-hawsawi,77,29,112139,30,3.1M,85,26,75,80,26,DEF,20,53,true,42
67,84,66,43,67,67,Al Ahli,40,64,173,111114-16-158159,111114,82,210147,80,40,62,10K,57,mansour-al-harbi,82,27,112387,61,575K,84,51,67,52,65,DEF,43,69,true,68
67,70,61,68,72,62,Al Shabab,36,50,178,111114-16-158159,111114,87,191843,67,46,65,3K,77,abdulmalek-al-khaibari,73,29,111674,29,550K,90,37,67,64,33,MID,37,66,true,48
72,80,72,73,69,71,Al Hilal,76,73,175,111114-16-158159,111114,61,191269,84,71,75,25K,61,salman-al-faraj,74,25,605,69,2.6M,80,66,75,63,76,MID,64,74,true,71
72,85,67,73,60,67,Al Nassr,63,72,164,111114-16-158159,111114,60,209281,84,66,74,25K,60,yahia-sulaiman-al-shehri,79,25,112139,71,2.7M,73,63,76,46,70,MID,67,90,true,77
70,85,59,81,59,61,Al Hilal,68,75,168,111114-16-158159,111114,56,208949,80,78,64,25K,57,nawaf-al-abed,85,25,605,66,1.7M,74,64,75,43,61,MID,71,83,true,71
77,76,77,73,64,80,Al Ahli,61,81,168,111114-16-158159,111114,63,168883,79,74,78,50K,67,taiseer-al-jassam,73,30,112387,71,6M,83,74,77,61,71,MID,69,82,true,78
76,78,47,71,72,77,Al Nassr,75,71,180,111114-16-158159,111114,90,208916,76,69,68,70K,69,mohammed-al-sahlawi,83,28,112139,64,5.5M,75,53,76,80,58,ATT,84,69,true,70
68,32,21,22,84,63,Al Ahli,12,17,184,111114-07-154994,111114,64,197496,49,19,22,11K,68,yasser-al-mosailem,46,34,112387,20,375K,37,14,68,13,18,DEF,14,55,true,16
72,87,66,68,61,68,Al Hilal,55,70,170,111114-07-154994,111114,52,210603,80,66,71,24K,58,yasser-al-shahrani,84,26,605,68,3.1M,78,65,74,53,69,DEF,48,73,true,67
72,59,57,65,83,70,Al Wehda,48,52,188,111114-07-154994,111114,76,191256,66,48,65,17K,80,osama-hawsawi,60,34,112408,50,950K,75,42,72,72,44,DEF,57,68,true,54
71,68,48,40,76,71,Al Nassr,21,48,185,111114-07-154994,111114,80,208914,70,32,68,21K,86,omar-hawsawi,70,32,112139,30,1.4M,74,26,71,68,26,DEF,20,49,true,41
68,76,61,46,75,66,Al Ittihad,40,64,175,111114-07-154994,111114,75,210147,74,40,65,13K,63,mansour-al-harbi,79,30,607,61,650K,83,48,68,54,68,DEF,45,63,true,65
69,68,65,68,73,65,Al Hilal,36,63,177,111114-07-154994,111114,72,191843,67,48,67,15K,75,abdulmalek-al-khaibari,71,32,605,35,600K,76,37,69,64,40,MID,37,61,true,53
74,67,75,74,64,74,Al Hilal,70,75,181,111114-07-154994,111114,71,191269,81,67,78,33K,73,salman-al-faraj,73,28,605,71,5.5M,72,66,74,59,72,MID,65,69,true,71
70,71,67,69,63,60,Al Nassr,59,69,165,111114-07-154994,111114,32,209281,80,67,73,21K,53,yahia-sulaiman-al-shehri,70,28,112139,69,1.8M,71,63,70,46,69,MID,61,72,true,71
73,78,69,73,59,65,Al Hilal,63,75,168,111114-07-154994,111114,64,208949,81,74,73,31K,63,nawaf-al-abed,79,28,605,66,4M,75,64,73,43,70,MID,69,79,true,73
73,69,72,66,69,72,Al Wehda,59,74,169,111114-07-154994,111114,59,168883,80,70,75,29K,73,taiseer-al-jassam,67,33,112408,70,2.3M,77,74,73,68,61,MID,66,70,true,71
69,63,47,67,74,75,Al Nassr,70,62,177,111114-07-154994,111114,77,208916,69,67,68,18K,68,mohammed-al-sahlawi,63,31,112139,64,950K,78,53,69,67,58,ATT,70,66,true,65
60,32,20,31,85,60,Al Ahli,25,25,185,111114-15-158005,111114,64,197496,49,25,21,1K,68,yasser-al-mosailem,46,30,112387,25,210K,37,25,60,25,25,DEF,25,55,true,25
69,91,61,72,62,64,Al Hilal,50,73,171,111114-15-158005,111114,73,210603,87,71,67,7K,71,yasser-al-shahrani,93,21,605,68,700K,84,35,77,52,71,DEF,47,77,true,72
69,65,46,64,80,67,Al Ahli,47,52,187,111114-15-158005,111114,74,191256,61,47,58,3K,82,osama-hawsawi,76,30,112387,49,700K,84,41,69,78,33,DEF,44,56,true,56
70,66,28,39,74,47,Al Nassr,20,49,184,111114-15-158005,111114,71,208914,61,21,42,15K,86,omar-hawsawi,69,28,112139,29,1.4M,65,25,70,78,25,DEF,25,54,true,27
64,84,65,42,67,66,Al Ahli,39,63,173,111114-15-158005,111114,82,210147,80,39,61,4K,57,mansour-al-harbi,84,26,112387,60,525K,79,50,66,51,64,DEF,42,78,true,67
65,73,56,67,72,67,Al Shabab,35,49,175,111114-15-158005,111114,88,191843,67,45,61,8K,77,abdulmalek-al-khaibari,72,28,111674,28,425K,86,36,65,52,32,MID,36,66,true,47
68,80,70,67,69,68,Al Hilal,69,72,175,111114-15-158005,111114,56,191269,84,56,72,9K,61,salman-al-faraj,74,24,605,48,1M,80,45,75,42,65,MID,60,74,true,70
72,84,66,70,60,66,Al Nassr,62,71,164,111114-15-158005,111114,55,209281,84,65,73,8K,60,yahia-sulaiman-al-shehri,86,24,112139,70,2.7M,79,67,79,45,67,MID,66,90,true,75
68,85,58,80,59,60,Al Hilal,67,71,168,111114-15-158005,111114,56,208949,80,75,66,10K,57,nawaf-al-abed,91,24,605,65,1M,78,63,75,42,60,MID,70,83,true,70
74,74,73,72,64,79,Al Ahli,60,80,168,111114-15-158005,111114,73,168883,79,73,77,8K,64,taiseer-al-jassam,74,29,112387,70,3.2M,80,71,74,60,70,MID,65,87,true,74
74,78,46,70,72,76,Al Nassr,70,70,178,111114-15-158005,111114,86,208916,76,68,65,25K,66,mohammed-al-sahlawi,76,27,112139,53,4M,75,30,74,73,27,ATT,81,67,true,67
68,32,21,22,84,63,Al Ahli,12,17,184,111114-12-156644,111114,64,197496,49,19,22,11K,68,yasser-al-mosailem,46,34,112387,20,375K,37,14,68,13,18,DEF,14,55,true,16
72,87,66,68,61,68,Al Hilal,55,70,170,111114-12-156644,111114,52,210603,80,66,71,24K,58,yasser-al-shahrani,84,26,605,68,3.1M,78,65,74,53,69,DEF,48,73,true,67
72,59,57,65,83,70,Al Wehda,48,52,188,111114-12-156644,111114,76,191256,66,48,65,17K,80,osama-hawsawi,60,34,112408,50,950K,75,42,72,72,44,DEF,57,68,true,54
71,68,48,40,76,71,Al Nassr,21,48,185,111114-12-156644,111114,80,208914,70,32,68,21K,86,omar-hawsawi,70,32,112139,30,1.4M,74,26,71,68,26,DEF,20,49,true,41
68,76,61,46,75,66,Al Ittihad,40,64,175,111114-12-156644,111114,75,210147,74,40,65,13K,63,mansour-al-harbi,79,30,607,61,650K,83,48,68,54,68,DEF,45,63,true,65
69,68,65,68,73,65,Al Hilal,36,63,177,111114-12-156644,111114,72,191843,67,48,67,15K,75,abdulmalek-al-khaibari,71,32,605,35,600K,76,37,69,64,40,MID,37,61,true,53
74,67,75,74,64,74,Al Hilal,70,75,181,111114-12-156644,111114,71,191269,81,67,78,33K,73,salman-al-faraj,73,28,605,71,5.5M,72,66,74,59,72,MID,65,69,true,71
70,71,67,69,63,60,Al Nassr,59,69,165,111114-12-156644,111114,32,209281,80,67,73,21K,53,yahia-sulaiman-al-shehri,70,28,112139,69,1.8M,71,63,70,46,69,MID,61,72,true,71
