,rank_id,team,team_abbr,rank,points
53,id12350,Jamaica,JAM,53,1401
54,id12350,Hungary,HUN,55,1400
55,id12350,Finland,FIN,56,1392
56,id12350,Burkina Faso,BFA,57,1390
57,id12350,Egypt,EGY,58,1378
58,id12350,Bolivia,BOL,59,1376
59,id12350,Albania,ALB,60,1372
60,id12350,Ecuador,ECU,61,1371
61,id12350,Honduras,HON,62,1367
62,id12350,Slovenia,SVN,62,1367
63,id12350,Côte d'Ivoire,CIV,64,1356
64,id12350,Mali,MLI,66,1352
65,id12350,Guinea,GUI,65,1354
66,id12350,Algeria,ALG,67,1339
67,id12350,Cape Verde Islands,CPV,68,1338
68,id12350,El Salvador,SLV,70,1335
69,id12350,FYR Macedonia,MKD,68,1338
70,id12350,Panama,PAN,70,1335
71,id12350,South Africa,RSA,73,1321
72,id12350,Syria,SYR,74,1320
73,id12350,Saudi Arabia,KSA,72,1334
74,id12350,China PR,CHN,75,1317
75,id12350,Canada,CAN,76,1310
76,id12350,Zambia,ZAM,77,1308
77,id12350,Belarus,BLR,78,1307
78,id12350,Curaçao,CUW,79,1306
79,id12350,Uganda,UGA,79,1306
80,id12350,United Arab Emirates,UAE,81,1305
81,id12350,Gabon,GAB,83,1288
82,id12350,Luxembourg,LUX,84,1287
83,id12350,Oman,OMA,84,1287
84,id12350,Cyprus,CYP,86,1279
85,id12350,Congo,CGO,87,1277
86,id12350,Benin,BEN,87,1277
87,id12350,Iraq,IRQ,89,1270
88,id12350,Kyrgyz Republic,KGZ,90,1268
89,id12350,Israel,ISR,91,1267
90,id12350,Georgia,GEO,92,1265
91,id12350,Trinidad and Tobago,TRI,93,1263
92,id12350,Uzbekistan,UZB,94,1254
93,id12350,Faroe Islands,FRO,95,1251
94,id12350,Qatar,QAT,96,1248
95,id12350,India,IND,97,1245
96,id12350,Palestine,PLE,99,1233
97,id12350,Estonia,EST,98,1237
98,id12350,Madagascar,MAD,100,1224
99,id12350,Armenia,ARM,101,1222
100,id12350,Vietnam,VIE,102,1220
101,id12350,Haiti,HAI,103,1216
102,id12350,Mauritania,MTN,104,1213
103,id12350,Libya,LBY,105,1210
104,id12350,Kenya,KEN,105,1210
105,id12350,Azerbaijan,AZE,107,1207
106,id12350,Namibia,NAM,109,1192
107,id12350,Korea DPR,PRK,110,1191
108,id12350,Niger,NIG,108,1195
109,id12350,Zimbabwe,ZIM,110,1191
110,id12350,Jordan,JOR,112,1189
111,id12350,Bahrain,BHR,113,1182
112,id12350,Central African Republic,CTA,113,1182
113,id12350,Sierra Leone,SLE,115,1172
114,id12350,Philippines,PHI,116,1171
115,id12350,Kazakhstan,KAZ,117,1166
116,id12350,Tajikistan,TJK,118,1161
117,id12350,New Zealand,NZL,119,1157
118,id12350,Guinea-Bissau,GNB,119,1157
119,id12350,Mozambique,MOZ,122,1151
120,id12350,Thailand,THA,121,1154
121,id12350,Togo,TOG,123,1144
122,id12350,Chinese Taipei,TPE,124,1139
123,id12350,Malawi,MWI,125,1129
124,id12350,Antigua and Barbuda,ATG,126,1126
125,id12350,Nicaragua,NCA,127,1125
126,id12350,Turkmenistan,TKM,128,1120
127,id12350,Lithuania,LTU,129,1117
128,id12350,Angola,ANG,130,1113
129,id12350,Yemen,YEM,131,1112
130,id12350,Latvia,LVA,132,1111
131,id12350,St. Kitts and Nevis,SKN,133,1109
132,id12350,Andorra,AND,133,1109
133,id12350,Tanzania,TAN,136,1101
134,id12350,Sudan,SDN,135,1105
135,id12350,Kosovo,KVX,137,1099
136,id12350,Rwanda,RWA,138,1092
137,id12350,Swaziland,SWZ,139,1088
138,id12350,Myanmar,MYA,141,1080
139,id12350,Botswana,BOT,140,1081
140,id12350,Burundi,BDI,142,1074
141,id12350,Solomon Islands,SOL,143,1073
142,id12350,Hong Kong,HKG,144,1071
143,id12350,Afghanistan,AFG,145,1068
144,id12350,Equatorial Guinea,EQG,146,1067
145,id12350,Guatemala,GUA,147,1064
146,id12350,Lesotho,LES,149,1055
147,id12350,Comoros,COM,148,1062
148,id12350,Ethiopia,ETH,150,1054
149,id12350,Dominican Republic,DOM,152,1045
150,id12350,Maldives,MDV,151,1049
151,id12350,Suriname,SUR,153,1040
152,id12350,New Caledonia,NCL,155,1032
153,id12350,Liberia,LBR,154,1035
154,id12350,Mauritius,MRI,156,1022
155,id12350,Kuwait,KUW,157,1020
156,id12350,Tahiti,TAH,157,1020
157,id12350,South Sudan,SSD,159,1005
158,id12350,Indonesia,IDN,160,1004
159,id12350,Nepal,NEP,161,1001
160,id12350,Vanuatu,VAN,162,1000
161,id12350,Barbados,BRB,162,1000
162,id12350,Belize,BLZ,164,995
163,id12350,Singapore,SIN,165,991
164,id12350,Papua New Guinea,PNG,166,984
165,id12350,Fiji,FIJ,167,981
166,id12350,St. Lucia,LCA,168,977
167,id12350,Malaysia,MAS,169,974
168,id12350,Cambodia,CAM,170,973
169,id12350,Moldova,MDA,171,969
170,id12350,Grenada,GRN,172,968
171,id12350,Gambia,GAM,173,967
172,id12350,Chad,CHA,174,956
173,id12350,St. Vincent / Grenadines,VIN,175,955
174,id12350,Puerto Rico,PUR,175,955
175,id12350,Cuba,CUB,177,954
176,id12350,Dominica,DMA,178,950
177,id12350,Guyana,GUY,179,943
178,id12350,Bermuda,BER,180,940
179,id12350,Laos,LAO,181,937
180,id12350,Malta,MLT,183,927
181,id12350,Liechtenstein,LIE,182,936
182,id12350,Macau,MAC,184,925
183,id12350,Aruba,ARU,185,924
184,id12350,Mongolia,MNG,186,923
185,id12350,Sao Tome e Principe,STP,187,920
186,id12350,Bhutan,BHU,188,917
187,id12350,Seychelles,SEY,188,917
188,id12350,Gibraltar,GIB,190,911
189,id12350,Timor-Leste,TLS,191,910
190,id12350,Cook Islands,COK,192,908
191,id12350,American Samoa,ASA,192,908
192,id12350,Guam,GUM,194,907
193,id12350,Bangladesh,BAN,194,907
194,id12350,Brunei Darussalam,BRU,196,903
195,id12350,Djibouti,DJI,197,896
196,id12350,Samoa,SAM,197,896
197,id12350,US Virgin Islands,VIR,200,887
198,id12350,Sri Lanka,SRI,201,886
199,id12350,Pakistan,PAK,199,890
200,id12350,Montserrat,MSR,202,879
201,id12350,Cayman Islands,CAY,203,873
202,id12350,Tonga,TGA,204,868
203,id12350,Eritrea,ERI,204,868
204,id12350,Somalia,SOM,204,868
205,id12350,British Virgin Islands,VGB,207,867
206,id12350,Anguilla,AIA,208,864
207,id12350,Bahamas,BAH,210,858
208,id12350,San Marino,SMR,209,862
209,id12350,Turks and Caicos Islands,TCA,211,855
0,id12315,France,FRA,1,1729
1,id12315,Belgium,BEL,1,1729
2,id12315,Croatia,CRO,4,1634
3,id12315,Brazil,BRA,3,1663
4,id12315,Uruguay,URU,5,1632
5,id12315,England,ENG,6,1612
6,id12315,Portugal,POR,7,1606
7,id12315,Switzerland,SUI,8,1598
8,id12315,Spain,ESP,9,1597
9,id12315,Denmark,DEN,10,1581
10,id12315,Argentina,ARG,11,1575
11,id12315,Chile,CHI,12,1568
12,id12315,Germany,GER,12,1568
13,id12315,Colombia,COL,14,1567
14,id12315,Sweden,SWE,15,1550
15,id12315,Mexico,MEX,15,1550
16,id12315,Netherlands,NED,17,1540
17,id12315,Poland,POL,18,1537
18,id12315,Wales,WAL,19,1536
19,id12315,Italy,ITA,20,1526
20,id12315,Peru,PER,21,1525
21,id12315,USA,USA,22,1510
22,id12315,Tunisia,TUN,23,1503
23,id12315,Austria,AUT,24,1499
24,id12315,Slovakia,SVK,26,1491
25,id12315,Senegal,SEN,25,1492
26,id12315,Northern Ireland,NIR,28,1487
27,id12315,Romania,ROU,27,1489
28,id12315,Republic of Ireland,IRL,30,1478
29,id12315,Ukraine,UKR,29,1483
30,id12315,Paraguay,PAR,31,1477
31,id12315,Venezuela,VEN,32,1476
32,id12315,IR Iran,IRN,33,1474
33,id12315,Bosnia and Herzegovina,BIH,34,1468
34,id12315,Serbia,SRB,35,1463
35,id12315,Iceland,ISL,36,1461
36,id12315,Costa Rica,CRC,37,1460
37,id12315,Scotland,SCO,39,1448
38,id12315,Turkey,TUR,38,1456
39,id12315,Congo DR,COD,40,1447
40,id12315,Montenegro,MNE,41,1444
41,id12315,Greece,GRE,42,1433
42,id12315,Australia,AUS,43,1431
43,id12315,Bulgaria,BUL,44,1430
44,id12315,Morocco,MAR,45,1425
45,id12315,Russia,RUS,46,1423
46,id12315,Nigeria,NGA,48,1415
47,id12315,Czech Republic,CZE,47,1418
48,id12315,Hungary,HUN,49,1409
49,id12315,Cameroon,CMR,50,1408
50,id12315,Ghana,GHA,51,1407
51,id12315,Norway,NOR,52,1405
52,id12315,Jamaica,JAM,53,1401
53,id12315,Japan,JPN,54,1398
54,id12315,Korea Republic,KOR,55,1395
55,id12315,Burkina Faso,BFA,56,1391
56,id12315,Ecuador,ECU,58,1378
57,id12315,Albania,ALB,57,1383
58,id12315,Finland,FIN,58,1378
59,id12315,Bolivia,BOL,58,1378
60,id12315,Slovenia,SVN,61,1376
61,id12315,Honduras,HON,62,1368
62,id12315,Mali,MLI,63,1365
63,id12315,Egypt,EGY,64,1364
64,id12315,Guinea,GUI,65,1353
65,id12315,FYR Macedonia,MKD,68,1344
66,id12315,Côte d'Ivoire,CIV,66,1351
67,id12315,Cape Verde Islands,CPV,67,1350
68,id12315,Algeria,ALG,69,1343
69,id12315,Panama,PAN,70,1339
70,id12315,Saudi Arabia,KSA,71,1337
71,id12315,El Salvador,SLV,72,1332
72,id12315,South Africa,RSA,73,1325
73,id12315,Syria,SYR,74,1322
74,id12315,China PR,CHN,76,1313
75,id12315,Zambia,ZAM,75,1316
76,id12315,Lebanon,LIB,77,1308
77,id12315,United Arab Emirates,UAE,77,1308
78,id12315,Canada,CAN,79,1307
79,id12315,Belarus,BLR,80,1304
80,id12315,Curaçao,CUW,81,1303
81,id12315,Luxembourg,LUX,82,1292
82,id12315,Uganda,UGA,83,1291
83,id12315,Congo,CGO,84,1289
84,id12315,Oman,OMA,85,1287
85,id12315,Cyprus,CYP,86,1283
86,id12315,Gabon,GAB,87,1274
87,id12315,Benin,BEN,88,1273
88,id12315,Iraq,IRQ,89,1272
89,id12315,Trinidad and Tobago,TRI,90,1269
90,id12315,Kyrgyz Republic,KGZ,91,1265
91,id12315,Faroe Islands,FRO,92,1261
92,id12315,Georgia,GEO,93,1254
93,id12315,Qatar,QAT,94,1247
94,id12315,Uzbekistan,UZB,96,1245
95,id12315,Israel,ISR,94,1247
96,id12315,India,IND,97,1244
97,id12315,Estonia,EST,98,1240
98,id12315,Palestine,PLE,100,1225
99,id12315,Libya,LBY,99,1226
100,id12315,Armenia,ARM,100,1225
101,id12315,Vietnam,VIE,102,1220
102,id12315,Mauritania,MTN,103,1217
103,id12315,Haiti,HAI,104,1212
104,id12315,Niger,NIG,105,1207
105,id12315,Madagascar,MAD,106,1205
106,id12315,Kenya,KEN,107,1204
107,id12315,Azerbaijan,AZE,108,1202
108,id12315,Korea DPR,PRK,109,1196
109,id12315,Jordan,JOR,110,1189
110,id12315,Central African Republic,CTA,111,1187
111,id12315,Bahrain,BHR,112,1181
112,id12315,Mozambique,MOZ,113,1175
113,id12315,Sierra Leone,SLE,114,1172
114,id12315,Philippines,PHI,114,1172
115,id12315,Zimbabwe,ZIM,117,1167
116,id12315,Namibia,NAM,116,1170
117,id12315,New Zealand,NZL,119,1157
118,id12315,Kazakhstan,KAZ,118,1160
119,id12315,Tajikistan,TJK,120,1156
120,id12315,Guinea-Bissau,GNB,121,1149
121,id12315,Thailand,THA,122,1144
122,id12315,Togo,TOG,123,1139
123,id12315,Chinese Taipei,TPE,123,1139
124,id12315,Lithuania,LTU,126,1123
125,id12315,Malawi,MWI,125,1129
126,id12315,Antigua and Barbuda,ATG,127,1122
127,id12315,Andorra,AND,128,1121
128,id12315,Nicaragua,NCA,128,1121
129,id12315,Turkmenistan,TKM,130,1120
130,id12315,Latvia,LVA,131,1116
131,id12315,Sudan,SDN,132,1114
132,id12315,Yemen,YEM,133,1112
133,id12315,St. Kitts and Nevis,SKN,134,1109
134,id12315,Angola,ANG,135,1108
135,id12315,Swaziland,SWZ,136,1101
136,id12315,Rwanda,RWA,137,1093
137,id12315,Myanmar,MYA,138,1092
138,id12315,Kosovo,KVX,138,1092
139,id12315,Tanzania,TAN,140,1089
140,id12315,Equatorial Guinea,EQG,141,1086
141,id12315,Botswana,BOT,142,1077
142,id12315,Hong Kong,HKG,143,1076
143,id12315,Solomon Islands,SOL,144,1073
144,id12315,Lesotho,LES,145,1070
145,id12315,Guatemala,GUA,147,1064
146,id12315,Burundi,BDI,148,1061
147,id12315,Afghanistan,AFG,146,1068
148,id12315,Ethiopia,ETH,149,1060
149,id12315,Maldives,MDV,151,1049
150,id12315,Comoros,COM,149,1060
151,id12315,Dominican Republic,DOM,152,1040
152,id12315,Suriname,SUR,153,1035
153,id12315,Liberia,LBR,155,1023
154,id12315,New Caledonia,NCL,154,1032
155,id12315,Tahiti,TAH,157,1020
156,id12315,Mauritius,MRI,156,1022
157,id12315,Nepal,NEP,160,1004
158,id12315,Kuwait,KUW,159,1014
159,id12315,Belize,BLZ,160,1004
160,id12315,Vanuatu,VAN,163,1000
161,id12315,Barbados,BRB,162,1003
162,id12315,South Sudan,SSD,158,1019
163,id12315,Indonesia,IDN,164,997
164,id12315,Papua New Guinea,PNG,165,984
165,id12315,St. Lucia,LCA,166,982
166,id12315,Singapore,SIN,166,982
167,id12315,Fiji,FIJ,168,981
168,id12315,Cambodia,CAM,169,979
169,id12315,Grenada,GRN,170,976
170,id12315,Malaysia,MAS,171,972
171,id12315,Gambia,GAM,171,972
172,id12315,Chad,CHA,174,956
173,id12315,Moldova,MDA,173,958
174,id12315,St. Vincent / Grenadines,VIN,175,955
175,id12315,Puerto Rico,PUR,175,955
176,id12315,Liechtenstein,LIE,178,947
177,id12315,Dominica,DMA,177,953
178,id12315,Cuba,CUB,179,946
179,id12315,Laos,LAO,179,946
180,id12315,Bermuda,BER,181,940
181,id12315,Guyana,GUY,182,937
182,id12315,Malta,MLT,183,928
183,id12315,Macau,MAC,184,925
184,id12315,Aruba,ARU,185,924
185,id12315,Mongolia,MNG,186,922
186,id12315,Sao Tome e Principe,STP,187,920
187,id12315,Seychelles,SEY,189,913
188,id12315,Bhutan,BHU,188,917
189,id12315,Bangladesh,BAN,193,907
190,id12315,American Samoa,ASA,191,908
191,id12315,Cook Islands,COK,191,908
192,id12315,Timor-Leste,TLS,190,909
193,id12315,Guam,GUM,193,907
194,id12315,Brunei Darussalam,BRU,195,903
195,id12315,Samoa,SAM,196,896
196,id12315,Djibouti,DJI,196,896
197,id12315,Gibraltar,GIB,198,891
198,id12315,Pakistan,PAK,199,890
199,id12315,Sri Lanka,SRI,199,890
200,id12315,Cayman Islands,CAY,202,878
201,id12315,US Virgin Islands,VIR,201,889
202,id12315,British Virgin Islands,VGB,203,872
203,id12315,San Marino,SMR,204,871
204,id12315,Montserrat,MSR,205,870
205,id12315,Tonga,TGA,206,868
206,id12315,Eritrea,ERI,206,868
207,id12315,Somalia,SOM,206,868
208,id12315,Anguilla,AIA,206,868
209,id12315,Turks and Caicos Islands,TCA,210,862
210,id12315,Bahamas,BAH,210,862
0,id12280,Brazil,BRA,3,1657
1,id12280,Belgium,BEL,2,1723
2,id12280,France,FRA,1,1726
3,id12280,Uruguay,URU,5,1627
4,id12280,Croatia,CRO,4,1643
5,id12280,England,ENG,6,1615
6,id12280,Portugal,POR,7,1599
7,id12280,Switzerland,SUI,8,1597
8,id12280,Denmark,DEN,9,1580
9,id12280,Spain,ESP,9,1580
10,id12280,Argentina,ARG,11,1574
11,id12280,Chile,CHI,12,1570
12,id12280,Sweden,SWE,13,1565
13,id12280,Colombia,COL,14,1563
14,id12280,Germany,GER,15,1561
15,id12280,Mexico,MEX,16,1560
16,id12280,Netherlands,NED,17,1540
17,id12280,Poland,POL,18,1538
18,id12280,Wales,WAL,19,1536
19,id12280,Peru,PER,20,1535
20,id12280,Italy,ITA,21,1532
21,id12280,Austria,AUT,23,1502
22,id12280,USA,USA,22,1508
23,id12280,Slovakia,SVK,26,1493
24,id12280,Tunisia,TUN,24,1498
25,id12280,Senegal,SEN,24,1498
26,id12280,Northern Ireland,NIR,27,1492
27,id12280,Romania,ROU,28,1490
28,id12280,Republic of Ireland,IRL,29,1484
29,id12280,Paraguay,PAR,30,1477
30,id12280,Costa Rica,CRC,32,1471
31,id12280,Venezuela,VEN,31,1476
32,id12280,IR Iran,IRN,32,1471
33,id12280,Iceland,ISL,32,1471
34,id12280,Ukraine,UKR,35,1468
35,id12280,Serbia,SRB,36,1459
36,id12280,Congo DR,COD,37,1456
37,id12280,Turkey,TUR,38,1455
38,id12280,Bosnia and Herzegovina,BIH,39,1452
39,id12280,Scotland,SCO,40,1444
40,id12280,Montenegro,MNE,41,1440
41,id12280,Czech Republic,CZE,44,1430
42,id12280,Greece,GRE,42,1436
43,id12280,Australia,AUS,43,1431
44,id12280,Ghana,GHA,45,1424
45,id12280,Morocco,MAR,46,1418
46,id12280,Cameroon,CMR,47,1416
47,id12280,Bulgaria,BUL,47,1416
48,id12280,Russia,RUS,49,1410
49,id12280,Nigeria,NGA,49,1410
50,id12280,Hungary,HUN,51,1409
51,id12280,Burkina Faso,BFA,52,1408
52,id12280,Norway,NOR,53,1406
53,id12280,Jamaica,JAM,54,1400
54,id12280,Slovenia,SVN,55,1392
55,id12280,Japan,JPN,55,1392
56,id12280,Korea Republic,KOR,57,1387
57,id12280,Albania,ALB,58,1384
58,id12280,Bolivia,BOL,59,1378
59,id12280,Ecuador,ECU,60,1376
60,id12280,Honduras,HON,61,1368
61,id12280,Finland,FIN,62,1364
62,id12280,Cape Verde Islands,CPV,64,1356
63,id12280,Egypt,EGY,65,1355
64,id12280,Mali,MLI,63,1360
65,id12280,Algeria,ALG,66,1351
66,id12280,Côte d'Ivoire,CIV,67,1344
67,id12280,Guinea,GUI,67,1344
68,id12280,Panama,PAN,69,1343
69,id12280,Saudi Arabia,KSA,70,1336
70,id12280,FYR Macedonia,MKD,70,1336
71,id12280,South Africa,RSA,74,1327
72,id12280,El Salvador,SLV,72,1332
73,id12280,Syria,SYR,73,1328
74,id12280,China PR,CHN,75,1320
75,id12280,Zambia,ZAM,76,1315
76,id12280,United Arab Emirates,UAE,77,1312
77,id12280,Belarus,BLR,78,1306
78,id12280,Canada,CAN,79,1304
79,id12280,Lebanon,LIB,79,1304
80,id12280,Curaçao,CUW,81,1300
81,id12280,Uganda,UGA,82,1296
82,id12280,Congo,CGO,83,1292
83,id12280,Oman,OMA,84,1288
84,id12280,Luxembourg,LUX,85,1286
85,id12280,Gabon,GAB,86,1284
86,id12280,Cyprus,CYP,87,1280
87,id12280,Benin,BEN,88,1276
88,id12280,Iraq,IRQ,89,1274
89,id12280,Faroe Islands,FRO,90,1268
90,id12280,Kyrgyz Republic,KGZ,92,1260
91,id12280,Trinidad and Tobago,TRI,91,1264
92,id12280,Israel,ISR,93,1256
93,id12280,Estonia,EST,94,1250
94,id12280,Uzbekistan,UZB,95,1247
95,id12280,Georgia,GEO,96,1242
96,id12280,India,IND,96,1242
97,id12280,Qatar,QAT,98,1236
98,id12280,Palestine,PLE,99,1230
99,id12280,Libya,LBY,101,1224
100,id12280,Vietnam,VIE,102,1220
101,id12280,Armenia,ARM,100,1227
102,id12280,Niger,NIG,103,1216
103,id12280,Haiti,HAI,104,1212
104,id12280,Azerbaijan,AZE,105,1207
105,id12280,Mauritania,MTN,106,1200
106,id12280,Madagascar,MAD,107,1199
107,id12280,Korea DPR,PRK,108,1196
108,id12280,Jordan,JOR,110,1192
109,id12280,Central African Republic,CTA,108,1196
110,id12280,Sierra Leone,SLE,111,1188
111,id12280,Bahrain,BHR,113,1180
112,id12280,Kenya,KEN,112,1182
113,id12280,Mozambique,MOZ,114,1176
114,id12280,Philippines,PHI,115,1172
115,id12280,Kazakhstan,KAZ,116,1167
116,id12280,Namibia,NAM,117,1166
117,id12280,Zimbabwe,ZIM,118,1164
118,id12280,Tajikistan,TJK,120,1156
119,id12280,New Zealand,NZL,119,1157
120,id12280,Thailand,THA,122,1144
121,id12280,Malawi,MWI,123,1140
122,id12280,Guinea-Bissau,GNB,121,1148
123,id12280,Togo,TOG,124,1136
124,id12280,Antigua and Barbuda,ATG,126,1132
125,id12280,Chinese Taipei,TPE,125,1135
126,id12280,Lithuania,LTU,127,1130
127,id12280,Sudan,SDN,128,1128
128,id12280,Latvia,LVA,129,1122
129,id12280,Turkmenistan,TKM,130,1120
130,id12280,Andorra,AND,130,1120
131,id12280,Nicaragua,NCA,132,1116
132,id12280,Yemen,YEM,133,1112
133,id12280,Swaziland,SWZ,134,1105
134,id12280,Rwanda,RWA,136,1100
135,id12280,St. Kitts and Nevis,SKN,135,1104
136,id12280,Angola,ANG,137,1096
137,id12280,Botswana,BOT,139,1089
138,id12280,Myanmar,MYA,138,1092
139,id12280,Tanzania,TAN,140,1084
140,id12280,Kosovo,KVX,141,1080
141,id12280,Hong Kong,HKG,142,1076
142,id12280,Equatorial Guinea,EQG,143,1072
143,id12280,Solomon Islands,SOL,143,1072
144,id12280,Afghanistan,AFG,145,1068
145,id12280,Guatemala,GUA,146,1064
146,id12280,Lesotho,LES,146,1064
147,id12280,Burundi,BDI,148,1056
148,id12280,Comoros,COM,149,1052
149,id12280,Ethiopia,ETH,151,1044
150,id12280,Maldives,MDV,150,1048
151,id12280,Suriname,SUR,153,1036
152,id12280,Dominican Republic,DOM,152,1040
153,id12280,New Caledonia,NCL,154,1032
154,id12280,South Sudan,SSD,156,1024
155,id12280,Tahiti,TAH,157,1020
156,id12280,Mauritius,MRI,155,1028
157,id12280,Liberia,LBR,158,1016
158,id12280,Kuwait,KUW,159,1012
159,id12280,Barbados,BRB,160,1005
160,id12280,Nepal,NEP,161,1004
161,id12280,Vanuatu,VAN,162,1000
162,id12280,Belize,BLZ,163,999
163,id12280,Fiji,FIJ,165,985
164,id12280,Indonesia,IDN,164,992
165,id12280,Papua New Guinea,PNG,166,984
166,id12280,Cambodia,CAM,166,984
167,id12280,Grenada,GRN,168,980
168,id12280,Singapore,SIN,169,976
169,id12280,Malaysia,MAS,171,971
170,id12280,Gambia,GAM,172,964
171,id12280,St. Lucia,LCA,170,972
172,id12280,Puerto Rico,PUR,173,960
173,id12280,St. Vincent / Grenadines,VIN,173,960
174,id12280,Moldova,MDA,175,957
175,id12280,Chad,CHA,176,956
176,id12280,Dominica,DMA,177,952
177,id12280,Bermuda,BER,178,948
178,id12280,Laos,LAO,178,948
179,id12280,Liechtenstein,LIE,180,944
180,id12280,Cuba,CUB,181,940
181,id12280,Guyana,GUY,182,936
182,id12280,Bhutan,BHU,183,932
183,id12280,Malta,MLT,184,928
184,id12280,Macau,MAC,185,924
185,id12280,Sao Tome e Principe,STP,186,920
186,id12280,Mongolia,MNG,186,920
187,id12280,Aruba,ARU,188,916
188,id12280,Seychelles,SEY,188,916
189,id12280,Guam,GUM,190,912
190,id12280,Timor-Leste,TLS,190,912
191,id12280,Cook Islands,COK,192,908
192,id12280,American Samoa,ASA,192,908
193,id12280,Bangladesh,BAN,194,904
194,id12280,Gibraltar,GIB,195,900
195,id12280,Brunei Darussalam,BRU,195,900
196,id12280,Djibouti,DJI,197,896
197,id12280,Samoa,SAM,197,896
198,id12280,US Virgin Islands,VIR,199,892
199,id12280,Sri Lanka,SRI,200,888
200,id12280,Pakistan,PAK,201,884
201,id12280,Cayman Islands,CAY,202,880
202,id12280,Montserrat,MSR,204,872
203,id12280,San Marino,SMR,203,876
204,id12280,British Virgin Islands,VGB,204,872
205,id12280,Eritrea,ERI,206,868
206,id12280,Turks and Caicos Islands,TCA,206,868
207,id12280,Somalia,SOM,206,868
208,id12280,Anguilla,AIA,206,868
209,id12280,Bahamas,BAH,206,868
210,id12280,Tonga,TGA,206,868
0,id12210,Germany,GER,1,1558
1,id12210,Brazil,BRA,2,1431
2,id12210,Belgium,BEL,3,1298
3,id12210,Portugal,POR,4,1274
4,id12210,Argentina,ARG,5,1241
5,id12210,France,FRA,7,1198
6,id12210,Switzerland,SUI,6,1199
7,id12210,Poland,POL,8,1183
8,id12210,Chile,CHI,9,1135
9,id12210,Spain,ESP,10,1126
10,id12210,Peru,PER,11,1125
11,id12210,Denmark,DEN,12,1051
12,id12210,England,ENG,12,1051
13,id12210,Uruguay,URU,14,1018
14,id12210,Mexico,MEX,15,989
15,id12210,Netherlands,NED,17,981
16,id12210,Wales,WAL,18,953
17,id12210,Colombia,COL,16,986
18,id12210,Italy,ITA,19,951
19,id12210,Croatia,CRO,20,945
20,id12210,Tunisia,TUN,21,910
21,id12210,Iceland,ISL,22,908
22,id12210,Costa Rica,CRC,23,884
23,id12210,Sweden,SWE,24,880
24,id12210,USA,USA,25,873
25,id12210,Austria,AUT,26,845
26,id12210,Senegal,SEN,27,838
27,id12210,Northern Ireland,NIR,29,803
28,id12210,Slovakia,SVK,28,804
29,id12210,Romania,ROU,30,782
30,id12210,Paraguay,PAR,32,773
31,id12210,Ukraine,UKR,35,733
32,id12210,Serbia,SRB,34,751
33,id12210,Republic of Ireland,IRL,31,777
34,id12210,Australia,AUS,36,718
35,id12210,Venezuela,VEN,33,755
36,id12210,IR Iran,IRN,37,708
37,id12210,Turkey,TUR,38,706
38,id12210,Bosnia and Herzegovina,BIH,40,693
39,id12210,Morocco,MAR,41,686
40,id12210,Congo DR,COD,38,706
41,id12210,Scotland,SCO,42,660
42,id12210,Montenegro,MNE,43,652
43,id12210,Greece,GRE,44,650
44,id12210,Egypt,EGY,45,649
